Dataset	Phenotype	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
GSE101961_age	NA	Battram T	NA	NA	2019-08-07	NA	NA	NA	NA	DNA methylation	age	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE101961	121	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE106648_disease_status	Multiple sclerosis	Battram T	NA	29921915	2019-08-07	Multiple sclerosis	EFO_0003885	NA	NA	DNA methylation	disease_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE106648	279	1	Number of MS case values = 139, number of Healthy control values = 140	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE107080_idu_and_hcv_dx	Intravenous illicit drug use (IDU) and hepatitis C infection (HCV)  (Comparison of IDU+/HCV+ and IDU-/HCV-)	Battram T	NA	29269866	2019-08-07	Intravenous illicit drug use (IDU) and hepatitis C infection (HCV)  (Comparison of IDU+/HCV+ and IDU-/HCV-)	EFO_0007010,EFO_0003047	NA	NA	DNA methylation	idu_and_hcv_dx	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE107080	405	1	Number of neg values = 305, number of pos values = 100	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE107459_fetal_intolerance	Fetal intolerance of labour	Battram T	NA	29235940	2019-08-07	Fetal intolerance of labour	NA	NA	NA	DNA methylation	fetal_intolerance	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE107459	127	1	Number of 1 values = 103, number of 0 values = 24	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE109914_arsenic_exposure	Arsenic exposure	Battram T	NA	29982128	2019-08-07	Arsenic exposure	CHEBI_27563	NA	NA	DNA methylation	arsenic_exposure	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE109914	119	1	Number of Yes values = 35, number of No values = 84	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE112596_therapy	Treated vs. untreated multiple sclerosis patients	Battram T	NA	30698680	2019-08-07	Treated vs. untreated multiple sclerosis patients	EFO_0003885	NA	NA	DNA methylation	therapy	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE112596	96	1	Number of Naive values = 42, number of FAE values = 54	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE113725_depression_status	Depression	Battram T	NA	29790996	2019-08-07	Depression	MONDO_0002050	NA	NA	DNA methylation	depression_status	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE113725	194	1	Number of case values = 96, number of control values = 98	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE118144_diagnosis	Paediatric-onset systemic lupus erythematosus	Battram T	NA	30806140	2019-08-07	Paediatric-onset systemic lupus erythematosus	EFO_0002690	NA	NA	DNA methylation	diagnosis	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE118144	145	1	Number of systemic lupus erythematosus (SLE) values = 65, number of Control values = 80	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE124366_tissue	Tissue type (buccal cells vs PBMC)	Battram T	NA	30602389	2019-08-07	Tissue type (buccal cells vs PBMC)	UBERON_0008420	NA	NA	DNA methylation	tissue	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE124366	215	1	Number of Buccal values = 110, number of PBMC values = 105	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE39672_panel	Population (African and European)	Battram T	NA	23792949	2019-08-07	Population (African and European)	OBI_0000181	NA	NA	DNA methylation	panel	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE39672	133	1	Number of YRI values = 60, number of CEU values = 73	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE40279_age_(y)	NA	Battram T	NA	NA	2019-08-07	NA	NA	NA	NA	DNA methylation	age_(y)	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE40279	656	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE42861_disease_state	Rheumatoid arthritis	Battram T	NA	23334450	2019-08-07	Rheumatoid arthritis	EFO_0000685	NA	NA	DNA methylation	disease_state	20 surrogate variables	Beta values	NA	Illumina HumanMethylation450	Whole blood	Data from geo dataset: GSE42861	689	1	Number of rheumatoid arthritis values = 335, number of Normal values = 354	NA	NA	NA	NA	NA	NA	NA	NA	NA
